GENE	SRR1566088	SRR1566089	SRR1566090	SRR1566091	SRR1566092	SRR1566093	SRR1566094	SRR1566095	SRR1566097	SRR1566096	SRR1566098	SRR1566099	SRR1566100	SRR1566101
ENSG00000008838.18	75216	60559	65679	108676	80833	67633	100680	69750	54482	179456	174372	218359	31171	156300
ENSG00000008853.16	8535	7125	8168	19626	9551	16640	9187	11211	14182	22046	18395	24612	12255	54631
ENSG00000008869.11	41400	42557	52385	100097	46536	26057	31912	34947	37193	101940	76861	56622	33180	82783
ENSG00000008952.16	283967	255707	352726	118534	335359	372757	131386	168673	303415	251966	652789	269818	226182	163762
ENSG00000008988.9	2600351	1460344	2570628	3978300	2341507	2223547	1300418	1307066	2143558	2139284	1441800	1806882	1991063	2447801
ENSG00000009307.15	974806	938254	1086860	647551	1125755	1380638	622291	418205	1330608	881799	1022254	780827	979492	649903
ENSG00000009335.17	102150	54186	58501	97814	55702	95073	41755	83507	88692	126148	210763	185500	65211	112837
ENSG00000009413.15	41181	28420	26150	56146	43702	37643	22201	21185	25391	61597	81793	43115	38657	36347
ENSG00000009694.13	8424	4515	4925	307	4601	3924	5905	86	3273	7175	3671	8483	2532	250
ENSG00000009709.11	0	44	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000009724.16	6508	4412	8726	5058	1512	3862	4477	363	1331	2469	4473	540	5934	5731
ENSG00000009765.14	156	52	0	104	156	0	0	0	54	52	0	0	52	0
ENSG00000009780.15	19404	10763	8156	12298	5825	26511	10549	4867	14258	13504	15986	15063	30095	20311
ENSG00000009790.14	116618	84678	160986	98475	30516	83532	40030	49133	67211	148091	83666	75842	64413	307024
ENSG00000009830.11	14636	10663	14414	15813	12109	8675	6662	15853	5766	25793	23408	19120	4223	21623
ENSG00000009844.15	31352	28920	23501	49327	28740	27980	13549	39859	34069	62655	94558	96552	27156	76191
ENSG00000009950.15	3366	2896	514	258	1832	12543	1404	2496	8897	102	468	0	4096	572
ENSG00000009954.10	137600	76144	77748	95052	91285	192739	88058	102831	108584	206964	340073	246767	86713	169076
ENSG00000010017.12	140516	112249	91732	64168	124973	143438	100116	74057	187153	156488	102156	112410	114551	82114
ENSG00000010030.13	5194	8095	1194	2064	104	3840	1254	2652	34676	11921	11767	370	0	4078
ENSG00000010072.15	38745	23034	31886	10019	16821	55262	15363	14341	42651	26147	26812	28174	22302	18045
ENSG00000010165.19	9842	7509	6185	65546	11180	13565	11799	29075	15264	100474	114137	184303	3506	85548
ENSG00000010219.13	16534	13004	15505	28727	12818	26303	3243	10860	17049	22621	20138	24269	9988	35295
ENSG00000010244.17	531439	388685	509158	239009	654794	522501	326294	188094	451590	368191	514414	421494	288185	443515
ENSG00000010256.10	168096	157084	194714	134127	166399	260748	90829	197724	189216	222048	294732	340891	124073	460322
ENSG00000010270.13	139567	57587	79596	100610	63326	91355	24269	45303	96740	75490	41393	69082	49177	70983
ENSG00000010278.12	422594	43210	134068	143528	50538	128040	20141	2702	651429	44272	8673	37005	73070	42902
ENSG00000010282.14	0	0	0	0	0	0	0	0	0	0	141	416	0	0
ENSG00000010292.12	69453	81742	45009	95611	133110	90982	29034	162674	36949	192840	487832	421175	22115	349562
ENSG00000010295.19	30586	42357	49384	64593	38944	67152	19474	60440	125232	76437	53840	87886	44616	135715
ENSG00000010310.8	12529	1344	34623	0	1582	2038	1969	0	4504	6690	1083	1817	2064	9842
ENSG00000010318.20	7557	14707	3700	14578	19316	17205	8591	11007	8581	18987	27902	10640	5359	16892
ENSG00000010319.6	1608	468	0	819	416	1294	29	3276	0	40715	3790	3244	104	1705
ENSG00000010322.15	110411	97471	142796	116844	112387	129643	93483	111209	146261	172366	122721	183089	143648	248759
ENSG00000010327.10	509636	293706	644715	159316	247012	544160	325600	745241	397015	142207	17666	180931	759015	1253237
ENSG00000010361.13	17783	14889	17083	41588	19164	18298	17916	31660	16520	47263	36533	58862	14541	39089
ENSG00000010379.15	52	0	208	208	0	0	0	0	0	468	0	623	0	468
ENSG00000010404.17	306441	160080	191682	390731	244437	243052	209306	70920	279471	345861	62325	147688	399430	91131
ENSG00000010438.16	693	2282	416	364	260	253	0	0	350	624	260	0	728	0
ENSG00000010539.11	10278	3589	3118	8128	2747	9097	51	2028	18036	13897	13284	14417	2690	14531
ENSG00000010610.9	67509	122559	39079	93480	56776	213278	32422	74776	371389	170166	96437	160387	186124	439496
ENSG00000010626.14	3284	5625	9925	28450	8531	5795	4606	9066	1788	18865	2353	14336	3894	10711
ENSG00000010671.15	75578	79970	105816	211620	73725	205656	55568	96883	167536	202538	135656	235556	68620	332606
ENSG00000010704.18	2184	3063	727	832	470	5767	780	728	2374	1664	1767	7172	1890	13187
